sovereignt,name,code,continent,subregion,sum_est_pop,eu_country,border_visible,fill_visible,value
Andorra,Andorra,Andorra,Europe,Southern Europe,83888.0,False,1.0,0.0,0.15016051163
Belarus,Belarus,Belarus,Europe,Eastern Europe,9648533.0,False,1.0,0.0,0.968536936047
Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,Europe,Southern Europe,3766892.0,False,1.0,0.0,0.501868749669
Iceland,Iceland,Iceland,Europe,Northern Europe,306694.0,False,1.0,0.0,0.805778228579
Kosovo,Kosovo,Kosovo,Europe,Southern Europe,1804838.0,False,1.0,0.0,0.155198959975
Liechtenstein,Liechtenstein,Liechtenstein,Europe,Western Europe,34761.0,False,1.0,0.0,0.422394276598
Macedonia,Macedonia,Macedonia,Europe,Southern Europe,2066718.0,False,1.0,0.0,0.192993707728
Moldova,Moldova,Moldova,Europe,Eastern Europe,4320748.0,False,1.0,0.0,0.57227878134
Monaco,Monaco,Monaco,Europe,Western Europe,32965.0,False,1.0,0.0,0.665713222275
Montenegro,Montenegro,Montenegro,Europe,Southern Europe,672180.0,False,1.0,0.0,0.917947430949
Norway,Norway,Norway,Europe,Northern Europe,4678391.0,False,1.0,0.0,0.577304969789
Republic of Serbia,Republic of Serbia,Republic of Serbia,Europe,Southern Europe,7364936.0,False,1.0,0.0,0.657224983266
Russia,Russia,Russia,Europe,Eastern Europe,140041247.0,False,1.0,0.0,0.0200291775538
San Marino,San Marino,San Marino,Europe,Southern Europe,30324.0,False,1.0,0.0,0.795070878633
Switzerland,Switzerland,Switzerland,Europe,Western Europe,7604467.0,False,1.0,0.0,0.0783114392416
Ukraine,Ukraine,Ukraine,Europe,Eastern Europe,45700395.0,False,1.0,0.0,0.866376671147
Vatican,Vatican,Vatican,Europe,Southern Europe,832.0,False,1.0,0.0,0.268476325592
Afghanistan,Afghanistan,Afghanistan,Asia,Southern Asia,28400000.0,False,0.0,0.0,0.191687065435
Algeria,Algeria,Algeria,Africa,Northern Africa,34178188.0,False,0.0,0.0,0.129257427406
Angola,Angola,Angola,Africa,Middle Africa,12799293.0,False,0.0,0.0,0.21015272353
Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,3802.0,False,0.0,0.0,0.910931155781
Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,North America,Caribbean,85632.0,False,0.0,0.0,0.316498701336
Argentina,Argentina,Argentina,South America,South America,40913584.0,False,0.0,0.0,0.118042841998
Armenia,Armenia,Armenia,Asia,Western Asia,2967004.0,False,0.0,0.0,0.192867984972
Australia,Heard Island and McDonald Islands,Heard Island and McDonald Islands,Seven seas (open ocean),Seven seas (open ocean),-99.0,False,0.0,0.0,0.760782019796
Australia,Coral Sea Islands,Coral Sea Islands,Oceania,Australia and New Zealand,4.0,False,0.0,0.0,0.888029670305
Australia,Australia,Australia,Oceania,Australia and New Zealand,21262641.0,False,0.0,0.0,0.310728665092
Australia,Ashmore and Cartier Islands,Ashmore and Cartier Islands,Oceania,Australia and New Zealand,-99.0,False,0.0,0.0,0.461375321446
Australia,Norfolk Island,Norfolk Island,Oceania,Australia and New Zealand,2141.0,False,0.0,0.0,0.224264226066
Australia,Indian Ocean Territories,Indian Ocean Territories,Asia,South-Eastern Asia,2069.0,False,0.0,0.0,0.612702430825
Azerbaijan,Azerbaijan,Azerbaijan,Asia,Western Asia,8238672.0,False,0.0,0.0,0.410758953366
Bahrain,Bahrain,Bahrain,Asia,Western Asia,727785.0,False,0.0,0.0,0.572276157353
Bajo Nuevo Bank (Petrel Is.),Bajo Nuevo Bank (Petrel Is.),Bajo Nuevo Bank (Petrel Is.),North America,Caribbean,-99.0,False,0.0,0.0,0.589902450704
Bangladesh,Bangladesh,Bangladesh,Asia,Southern Asia,156050883.0,False,0.0,0.0,0.450341415646
Barbados,Barbados,Barbados,North America,Caribbean,284589.0,False,0.0,0.0,0.564049210311
Belize,Belize,Belize,North America,Central America,307899.0,False,0.0,0.0,0.510576438908
Benin,Benin,Benin,Africa,Western Africa,8791832.0,False,0.0,0.0,0.148577837448
Bhutan,Bhutan,Bhutan,Asia,Southern Asia,691141.0,False,0.0,0.0,0.400458904557
Bolivia,Bolivia,Bolivia,South America,South America,9775246.0,False,0.0,0.0,0.484541916897
Botswana,Botswana,Botswana,Africa,Southern Africa,1990876.0,False,0.0,0.0,0.123967808358
Brazil,Brazil,Brazil,South America,South America,198739269.0,False,0.0,0.0,0.624952362815
Brunei,Brunei,Brunei,Asia,South-Eastern Asia,388190.0,False,0.0,0.0,0.0303319970798
Burkina Faso,Burkina Faso,Burkina Faso,Africa,Western Africa,15746232.0,False,0.0,0.0,0.346011452276
Burundi,Burundi,Burundi,Africa,Eastern Africa,8988091.0,False,0.0,0.0,0.418059443724
Cambodia,Cambodia,Cambodia,Asia,South-Eastern Asia,14494293.0,False,0.0,0.0,0.946027957841
Cameroon,Cameroon,Cameroon,Africa,Middle Africa,18879301.0,False,0.0,0.0,0.794314627622
Canada,Canada,Canada,North America,Northern America,33487208.0,False,0.0,0.0,0.867123521915
Cape Verde,Cape Verde,Cape Verde,Africa,Western Africa,429474.0,False,0.0,0.0,0.764074254003
Central African Republic,Central African Republic,Central African Republic,Africa,Middle Africa,4511488.0,False,0.0,0.0,0.177194642544
Chad,Chad,Chad,Africa,Middle Africa,10329208.0,False,0.0,0.0,0.466484871693
Chile,Chile,Chile,South America,South America,16601707.0,False,0.0,0.0,0.895997192988
China,China,China,Asia,Eastern Asia,1338613068.0,False,0.0,0.0,0.694498858475
China,Hong Kong S.A.R.,Hong Kong S.A.R.,Asia,Eastern Asia,7061200.0,False,0.0,0.0,0.616801187589
China,Macao S.A.R,Macao S.A.R,Asia,Eastern Asia,559846.0,False,0.0,0.0,0.633623178446
Colombia,Colombia,Colombia,South America,South America,45644023.0,False,0.0,0.0,0.764964333331
Comoros,Comoros,Comoros,Africa,Eastern Africa,752438.0,False,0.0,0.0,0.000648677585257
Costa Rica,Costa Rica,Costa Rica,North America,Central America,4253877.0,False,0.0,0.0,0.713753531441
Cuba,Cuba,Cuba,North America,Caribbean,11451652.0,False,0.0,0.0,0.782506586188
Cuba,US Naval Base Guantanamo Bay,US Naval Base Guantanamo Bay,North America,Caribbean,7000.0,False,0.0,0.0,0.248220905478
Cyprus,Cyprus,Cyprus,Asia,Western Asia,531640.0,False,0.0,0.0,0.0579803745532
Cyprus No Mans Area,Cyprus No Mans Area,Cyprus No Mans Area,Asia,Western Asia,10000.0,False,0.0,0.0,0.0158529185784
Democratic Republic of the Congo,Democratic Republic of the Congo,Democratic Republic of the Congo,Africa,Middle Africa,68692542.0,False,0.0,0.0,0.36819295286
Denmark,Greenland,Greenland,North America,Northern America,57600.0,False,0.0,0.0,0.692814556889
Djibouti,Djibouti,Djibouti,Africa,Eastern Africa,516055.0,False,0.0,0.0,0.362278297251
Dominica,Dominica,Dominica,North America,Caribbean,72660.0,False,0.0,0.0,0.314718521956
Dominican Republic,Dominican Republic,Dominican Republic,North America,Caribbean,9650054.0,False,0.0,0.0,0.358878717989
East Timor,East Timor,East Timor,Asia,South-Eastern Asia,1066582.0,False,0.0,0.0,0.595639314601
Ecuador,Ecuador,Ecuador,South America,South America,14573101.0,False,0.0,0.0,0.375954344821
Egypt,Egypt,Egypt,Africa,Northern Africa,83082869.0,False,0.0,0.0,0.470812447949
El Salvador,El Salvador,El Salvador,North America,Central America,7185218.0,False,0.0,0.0,0.981132785661
Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Africa,Middle Africa,429000.0,False,0.0,0.0,0.101304870388
Eritrea,Eritrea,Eritrea,Africa,Eastern Africa,5647168.0,False,0.0,0.0,0.705648188278
Ethiopia,Ethiopia,Ethiopia,Africa,Eastern Africa,85237338.0,False,0.0,0.0,0.150201455837
Federated States of Micronesia,Federated States of Micronesia,Federated States of Micronesia,Oceania,Micronesia,107434.0,False,0.0,0.0,0.362345005934
Fiji,Fiji,Fiji,Oceania,Melanesia,944720.0,False,0.0,0.0,0.746488061845
France,Clipperton Island,Clipperton Island,Seven seas (open ocean),Central America,-99.0,False,0.0,0.0,0.528461073889
France,Wallis and Futuna,Wallis and Futuna,Oceania,Polynesia,15289.0,False,0.0,0.0,0.623657975485
France,New Caledonia,New Caledonia,Oceania,Melanesia,227436.0,False,0.0,0.0,0.633692857638
France,French Polynesia,French Polynesia,Oceania,Polynesia,287032.0,False,0.0,0.0,0.317604270877
France,Saint Pierre and Miquelon,Saint Pierre and Miquelon,North America,Northern America,7051.0,False,0.0,0.0,0.651735857347
France,Saint Barthelemy,Saint Barthelemy,North America,Caribbean,7448.0,False,0.0,0.0,0.0844677172788
France,Saint Martin,Saint Martin,North America,Caribbean,36661.0,False,0.0,0.0,0.352007941556
France,French Southern and Antarctic Lands,French Southern and Antarctic Lands,Africa,Eastern Africa,41.0,False,0.0,0.0,0.0960213948362
Gabon,Gabon,Gabon,Africa,Middle Africa,1514993.0,False,0.0,0.0,0.998545911398
Gambia,Gambia,Gambia,Africa,Western Africa,1782893.0,False,0.0,0.0,0.0122490824909
Georgia,Georgia,Georgia,Asia,Western Asia,4615807.0,False,0.0,0.0,0.582768261204
Ghana,Ghana,Ghana,Africa,Western Africa,23832495.0,False,0.0,0.0,0.620685353822
Grenada,Grenada,Grenada,North America,Caribbean,90739.0,False,0.0,0.0,0.907810057297
Guatemala,Guatemala,Guatemala,North America,Central America,13276517.0,False,0.0,0.0,0.901714311399
Guinea,Guinea,Guinea,Africa,Western Africa,10057975.0,False,0.0,0.0,0.137058936313
Guinea Bissau,Guinea Bissau,Guinea Bissau,Africa,Western Africa,1533964.0,False,0.0,0.0,0.89475792083
Guyana,Guyana,Guyana,South America,South America,772298.0,False,0.0,0.0,0.616202505815
Haiti,Haiti,Haiti,North America,Caribbean,9035536.0,False,0.0,0.0,0.378413757113
Honduras,Honduras,Honduras,North America,Central America,7792854.0,False,0.0,0.0,0.733193627956
India,India,India,Asia,Southern Asia,1165898978.0,False,0.0,0.0,0.359286920839
Indonesia,Indonesia,Indonesia,Asia,South-Eastern Asia,240271522.0,False,0.0,0.0,0.737533476766
Iran,Iran,Iran,Asia,Southern Asia,66429284.0,False,0.0,0.0,0.55092364032
Iraq,Iraq,Iraq,Asia,Western Asia,31129225.0,False,0.0,0.0,0.495149479208
Israel,Israel,Israel,Asia,Western Asia,7233701.0,False,0.0,0.0,0.397354005006
Israel,Palestine,Palestine,Asia,Western Asia,4119083.0,False,0.0,0.0,0.187408050421
Ivory Coast,Ivory Coast,Ivory Coast,Africa,Western Africa,20617068.0,False,0.0,0.0,0.0660701490374
Jamaica,Jamaica,Jamaica,North America,Caribbean,2825928.0,False,0.0,0.0,0.83457516453
Japan,Japan,Japan,Asia,Eastern Asia,128764295.79,False,0.0,0.0,0.856120329768
Jordan,Jordan,Jordan,Asia,Western Asia,6342948.0,False,0.0,0.0,0.518458451277
Kashmir,Siachen Glacier,Siachen Glacier,Asia,Southern Asia,6000.0,False,0.0,0.0,0.825118603658
Kazakhstan,Baykonur Cosmodrome,Baykonur Cosmodrome,Asia,Central Asia,70000.0,False,0.0,0.0,0.0598513345118
Kazakhstan,Kazakhstan,Kazakhstan,Asia,Central Asia,15399437.0,False,0.0,0.0,0.0683214566639
Kenya,Kenya,Kenya,Africa,Eastern Africa,39002772.0,False,0.0,0.0,0.149613712343
Kiribati,Kiribati,Kiribati,Oceania,Micronesia,112850.0,False,0.0,0.0,0.43955100351
Kuwait,Kuwait,Kuwait,Asia,Western Asia,2691158.0,False,0.0,0.0,0.469188331147
Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Asia,Central Asia,5431747.0,False,0.0,0.0,0.806293265427
Laos,Laos,Laos,Asia,South-Eastern Asia,6834942.0,False,0.0,0.0,0.321350767378
Lebanon,Lebanon,Lebanon,Asia,Western Asia,4017095.0,False,0.0,0.0,0.43827326209
Lesotho,Lesotho,Lesotho,Africa,Southern Africa,2130819.0,False,0.0,0.0,0.965853344937
Liberia,Liberia,Liberia,Africa,Western Africa,3441790.0,False,0.0,0.0,0.38878065046
Libya,Libya,Libya,Africa,Northern Africa,6310434.0,False,0.0,0.0,0.755908173897
Madagascar,Madagascar,Madagascar,Africa,Eastern Africa,20653556.0,False,0.0,0.0,0.38584985029
Malawi,Malawi,Malawi,Africa,Eastern Africa,14268711.0,False,0.0,0.0,0.444165758756
Malaysia,Malaysia,Malaysia,Asia,South-Eastern Asia,25715819.0,False,0.0,0.0,0.524888053723
Maldives,Maldives,Maldives,Seven seas (open ocean),Southern Asia,396334.0,False,0.0,0.0,0.79864246937
Mali,Mali,Mali,Africa,Western Africa,12666987.0,False,0.0,0.0,0.621597374716
Marshall Islands,Marshall Islands,Marshall Islands,Oceania,Micronesia,64522.0,False,0.0,0.0,0.395445742763
Mauritania,Mauritania,Mauritania,Africa,Western Africa,3129486.0,False,0.0,0.0,0.264834489102
Mauritius,Mauritius,Mauritius,Seven seas (open ocean),Eastern Africa,1284264.0,False,0.0,0.0,0.440625975987
Mexico,Mexico,Mexico,North America,Central America,111211789.0,False,0.0,0.0,0.0275876226401
Mongolia,Mongolia,Mongolia,Asia,Eastern Asia,3041142.0,False,0.0,0.0,0.64181325516
Morocco,Morocco,Morocco,Africa,Northern Africa,34859364.0,False,0.0,0.0,0.558543810781
Mozambique,Mozambique,Mozambique,Africa,Eastern Africa,21669278.0,False,0.0,0.0,0.100052819636
Myanmar,Myanmar,Myanmar,Asia,South-Eastern Asia,48137741.0,False,0.0,0.0,0.465322709198
Namibia,Namibia,Namibia,Africa,Southern Africa,2108665.0,False,0.0,0.0,0.0487661027126
Nauru,Nauru,Nauru,Oceania,Micronesia,14019.0,False,0.0,0.0,0.439440373967
Nepal,Nepal,Nepal,Asia,Southern Asia,28563377.0,False,0.0,0.0,0.553297368818
Netherlands,Curaçao,Curaçao,North America,Caribbean,141766.0,False,0.0,0.0,0.837469792658
Netherlands,Sint Maarten,Sint Maarten,North America,Caribbean,37429.0,False,0.0,0.0,0.245607267274
Netherlands,Aruba,Aruba,North America,Caribbean,103065.0,False,0.0,0.0,0.654386835793
New Zealand,Niue,Niue,Oceania,Polynesia,1398.0,False,0.0,0.0,0.17863832423
New Zealand,New Zealand,New Zealand,Oceania,Australia and New Zealand,4406387.0,False,0.0,0.0,0.862695894777
New Zealand,Cook Islands,Cook Islands,Oceania,Polynesia,11870.0,False,0.0,0.0,0.801572120713
Nicaragua,Nicaragua,Nicaragua,North America,Central America,5891199.0,False,0.0,0.0,0.759178075098
Niger,Niger,Niger,Africa,Western Africa,15306252.0,False,0.0,0.0,0.950830443995
Nigeria,Nigeria,Nigeria,Africa,Western Africa,149229090.0,False,0.0,0.0,0.434386195796
North Korea,North Korea,North Korea,Asia,Eastern Asia,22665246.0,False,0.0,0.0,0.938997304702
Northern Cyprus,Northern Cyprus,Northern Cyprus,Asia,Western Asia,265100.0,False,0.0,0.0,0.226784230283
Oman,Oman,Oman,Asia,Western Asia,3418085.0,False,0.0,0.0,0.0715467287405
Pakistan,Pakistan,Pakistan,Asia,Southern Asia,176242949.0,False,0.0,0.0,0.668902056363
Palau,Palau,Palau,Oceania,Micronesia,20796.0,False,0.0,0.0,0.826779367374
Panama,Panama,Panama,North America,Central America,3360474.0,False,0.0,0.0,0.107934447614
Papua New Guinea,Papua New Guinea,Papua New Guinea,Oceania,Melanesia,6057263.0,False,0.0,0.0,0.821587669957
Paraguay,Paraguay,Paraguay,South America,South America,6995655.0,False,0.0,0.0,0.00990346644527
Peru,Peru,Peru,South America,South America,29546963.0,False,0.0,0.0,0.711822375674
Philippines,Philippines,Philippines,Asia,South-Eastern Asia,97976603.0,False,0.0,0.0,0.821165716671
Qatar,Qatar,Qatar,Asia,Western Asia,833285.0,False,0.0,0.0,0.850655219329
Republic of Congo,Republic of Congo,Republic of Congo,Africa,Middle Africa,4012809.0,False,0.0,0.0,0.660397116186
Rwanda,Rwanda,Rwanda,Africa,Eastern Africa,10473282.0,False,0.0,0.0,0.978814995799
Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis,North America,Caribbean,40131.0,False,0.0,0.0,0.33304881416
Saint Lucia,Saint Lucia,Saint Lucia,North America,Caribbean,160267.0,False,0.0,0.0,0.584834322756
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,North America,Caribbean,104574.0,False,0.0,0.0,0.31213299363
Samoa,Samoa,Samoa,Oceania,Polynesia,219998.0,False,0.0,0.0,0.499250745315
Sao Tome and Principe,Sao Tome and Principe,Sao Tome and Principe,Africa,Middle Africa,162000.0,False,0.0,0.0,0.642795284612
Saudi Arabia,Saudi Arabia,Saudi Arabia,Asia,Western Asia,28686633.0,False,0.0,0.0,0.247134021205
Scarborough Reef,Scarborough Reef,Scarborough Reef,Asia,South-Eastern Asia,-99.0,False,0.0,0.0,0.344186089458
Senegal,Senegal,Senegal,Africa,Western Africa,13711597.0,False,0.0,0.0,0.81755470645
Serranilla Bank,Serranilla Bank,Serranilla Bank,North America,Caribbean,-99.0,False,0.0,0.0,0.268239867695
Seychelles,Seychelles,Seychelles,Seven seas (open ocean),Eastern Africa,87476.0,False,0.0,0.0,0.791136228817
Sierra Leone,Sierra Leone,Sierra Leone,Africa,Western Africa,6440053.0,False,0.0,0.0,0.502873733193
Singapore,Singapore,Singapore,Asia,South-Eastern Asia,4657542.0,False,0.0,0.0,0.437267791878
Solomon Islands,Solomon Islands,Solomon Islands,Oceania,Melanesia,595613.0,False,0.0,0.0,0.757061273619
Somalia,Somalia,Somalia,Africa,Eastern Africa,9832017.0,False,0.0,0.0,0.24563348954
Somaliland,Somaliland,Somaliland,Africa,Eastern Africa,3500000.0,False,0.0,0.0,0.910380975402
South Africa,South Africa,South Africa,Africa,Southern Africa,49052390.0,False,0.0,0.0,0.878030796805
South Korea,South Korea,South Korea,Asia,Eastern Asia,49088564.0,False,0.0,0.0,0.935017454006
South Sudan,South Sudan,South Sudan,Africa,Eastern Africa,10625176.0,False,0.0,0.0,0.30362376815
Spratly Islands,Spratly Islands,Spratly Islands,Asia,South-Eastern Asia,100.0,False,0.0,0.0,0.992661532595
Sri Lanka,Sri Lanka,Sri Lanka,Asia,Southern Asia,21324791.0,False,0.0,0.0,0.169471302044
Sudan,Sudan,Sudan,Africa,Northern Africa,25946220.0,False,0.0,0.0,0.68987772998
Suriname,Suriname,Suriname,South America,South America,481267.0,False,0.0,0.0,0.17271947825
Swaziland,Swaziland,Swaziland,Africa,Southern Africa,1123913.0,False,0.0,0.0,0.506246527688
Syria,Syria,Syria,Asia,Western Asia,20178485.0,False,0.0,0.0,0.669562787992
Taiwan,Taiwan,Taiwan,Asia,Eastern Asia,22974347.0,False,0.0,0.0,0.28061989414
Tajikistan,Tajikistan,Tajikistan,Asia,Central Asia,7349145.0,False,0.0,0.0,0.908399408286
Thailand,Thailand,Thailand,Asia,South-Eastern Asia,65905410.0,False,0.0,0.0,0.599039861864
The Bahamas,The Bahamas,The Bahamas,North America,Caribbean,309156.0,False,0.0,0.0,0.71383094963
Togo,Togo,Togo,Africa,Western Africa,6019877.0,False,0.0,0.0,0.570692030177
Tonga,Tonga,Tonga,Oceania,Polynesia,120898.0,False,0.0,0.0,0.531263296557
Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,North America,Caribbean,1306800.0,False,0.0,0.0,0.728377265721
Tunisia,Tunisia,Tunisia,Africa,Northern Africa,10486339.0,False,0.0,0.0,0.453217218337
Turkey,Turkey,Turkey,Asia,Western Asia,76805524.0,False,0.0,0.0,0.823520836934
Turkmenistan,Turkmenistan,Turkmenistan,Asia,Central Asia,4884887.0,False,0.0,0.0,0.442267428797
Tuvalu,Tuvalu,Tuvalu,Oceania,Polynesia,12373.0,False,0.0,0.0,0.529505872359
Uganda,Uganda,Uganda,Africa,Eastern Africa,32369558.0,False,0.0,0.0,0.435427636157
United Arab Emirates,United Arab Emirates,United Arab Emirates,Asia,Western Asia,4798491.0,False,0.0,0.0,0.284718765153
United Kingdom,Falkland Islands,Falkland Islands,South America,South America,3140.0,False,0.0,0.0,0.126591458929
United Kingdom,British Indian Ocean Territory,British Indian Ocean Territory,Seven seas (open ocean),Seven seas (open ocean),8000.0,False,0.0,0.0,0.751718185004
United Kingdom,Saint Helena,Saint Helena,Seven seas (open ocean),Seven seas (open ocean),5459.0,False,0.0,0.0,0.0194125433577
United Kingdom,South Georgia and the Islands,South Georgia and the Islands,Seven seas (open ocean),Seven seas (open ocean),-69.0,False,0.0,0.0,0.97536538058
United Kingdom,Pitcairn Islands,Pitcairn Islands,Oceania,Polynesia,48.0,False,0.0,0.0,0.252921397206
United Kingdom,Montserrat,Montserrat,North America,Caribbean,5097.0,False,0.0,0.0,0.00295384020862
United Kingdom,British Virgin Islands,British Virgin Islands,North America,Caribbean,24491.0,False,0.0,0.0,0.739317269834
United Kingdom,Anguilla,Anguilla,North America,Caribbean,14436.0,False,0.0,0.0,0.64934075002
United Kingdom,Bermuda,Bermuda,North America,Northern America,67837.0,False,0.0,0.0,0.783892513363
United Kingdom,Cayman Islands,Cayman Islands,North America,Caribbean,49035.0,False,0.0,0.0,0.769385931972
United Kingdom,Turks and Caicos Islands,Turks and Caicos Islands,North America,Caribbean,22942.0,False,0.0,0.0,0.248710639905
United Kingdom,Dhekelia Sovereign Base Area,Dhekelia Sovereign Base Area,Asia,Western Asia,7850.0,False,0.0,0.0,0.893153215155
United Kingdom,Akrotiri Sovereign Base Area,Akrotiri Sovereign Base Area,Asia,Western Asia,7850.0,False,0.0,0.0,0.728413685365
United Republic of Tanzania,United Republic of Tanzania,United Republic of Tanzania,Africa,Eastern Africa,42118532.0,False,0.0,0.0,0.992744997549
United States of America,American Samoa,American Samoa,Oceania,Polynesia,65628.0,False,0.0,0.0,0.219461119776
United States of America,United States Minor Outlying Islands,United States Minor Outlying Islands,Oceania,Micronesia,-891.0,False,0.0,0.0,0.747269144974
United States of America,Guam,Guam,Oceania,Micronesia,178430.0,False,0.0,0.0,0.779519400816
United States of America,Northern Mariana Islands,Northern Mariana Islands,Oceania,Micronesia,88662.0,False,0.0,0.0,0.0780918469321
United States of America,Puerto Rico,Puerto Rico,North America,Caribbean,3971020.0,False,0.0,0.0,0.202550572999
United States of America,United States,United States,North America,Northern America,313973000.0,False,0.0,0.0,0.569101549676
United States of America,United States Virgin Islands,United States Virgin Islands,North America,Caribbean,109825.0,False,0.0,0.0,0.425072095369
Uruguay,Uruguay,Uruguay,South America,South America,3494382.0,False,0.0,0.0,0.486318871547
Uzbekistan,Uzbekistan,Uzbekistan,Asia,Central Asia,27606007.0,False,0.0,0.0,0.600953958131
Vanuatu,Vanuatu,Vanuatu,Oceania,Melanesia,218519.0,False,0.0,0.0,0.930357443385
Venezuela,Venezuela,Venezuela,South America,South America,26814843.0,False,0.0,0.0,0.693828510735
Vietnam,Vietnam,Vietnam,Asia,South-Eastern Asia,86967524.0,False,0.0,0.0,0.357065900167
Western Sahara,Western Sahara,Western Sahara,Africa,Northern Africa,-99.0,False,0.0,0.0,0.990641133586
Yemen,Yemen,Yemen,Asia,Western Asia,23865625.0,False,0.0,0.0,0.713656526446
Zambia,Zambia,Zambia,Africa,Eastern Africa,11862740.0,False,0.0,0.0,0.111393064006
Zimbabwe,Zimbabwe,Zimbabwe,Africa,Eastern Africa,12619600.0,False,0.0,0.0,0.668595104216
